all_10,all_15,all_20,select_20,select_15,select_10
 拉雞, 老不死, 畜生, 館粉, 蛤,
 版友, 雜碎, 新聞業, 靈涼, 吃屎,
 藍綠粉, 精神病, 無業, 的別, 共產黨國,
 妓女, 人酸, 立貞潔, 拉基, 呵呵,
 確更, 板友, 爛, 酸文, 宅會,
 公豬, 言而無信, 館粉, 幹林娘, 匪區,
 拉基, 癡, 幹你娘, 低能, 狗屎,
 豬隊友, 食屎, 很魯, 東然, 中?,
 幹你娘, 廢渣, ey, 幹你娘, 幹滾啦,
 低能, 領太, 龍妹, ptt, 歷台,
 東然, 黑會, 笨蛋, ey, 酸宅,
 ptt, 冥嘴, 出張, 龍妹, 亂酸,
 8+9, 招過, 這版, 廢成, 死肥宅,
 這版, 發文說, 妓者, 抽煙, 閃殺,
 宅宅, 吠叫, 綠膿桿, 8+9,,
 妓者, loser, 雜種, 笨蛋,,
 鄉民酸, gogobar, 喇幹, 出張,,
 謠成, 共狗, Zzz, 這版,,
 想立, 愛酸, 柯黑, 掛版,,
 敗類, 宮廟, 告爆, 宅宅,,
 溫拿, 屁孩, 刪滾, 鄉民酸,,
 米蟲, 立貞節, 假賽, 蠢貨,,
 訐, 貞節, 經病, 呼呼大睡,,
 想領, 神經病, 一家子, 笑死,,
 真肥宅, 白痴, 甲賽, 敗類,,
 下賤, 河粉, 金養, 錢啦,,
 雜種, 文正, 台媒, 沒耿,,
 喇幹, 小屁孩, 病, 綠膿桿,,
 混帳, 組職, 洗翻, 訐,,
 魯宅, 吠, 藍綠柯, 夜店,,
 柯黑, 死台, 吃屎, 不肥,,
 能領, 醜宅, 憤世嫉俗, 真肥宅,,
 人領, 噢, 校稿, 下賤,,
 孬渣, 裝神, 軍公, 皇奴,,
 刪滾, 辣幹, 一國兩治, 喇幹,,
 酸人, 沒路用, 呵呵, 偉哉,,
 Allpost, 無法無天, 宅會, 魯宅,,
 經病, 婊子, 綠畜, Zzz,,
 甲賽, 版肥宅, 牆內, 混帳,,
 紅姨會, 五樓鬆肛, 歷肥宅, 告爆,,
 樓別, 真柯粉, 娘酒, 親綠,,
 三立員, 滾蛋, 具名, 掛板,,
 領的, 狂噓, 死肥宅, 刪滾,,
 科黑, 沒救, 名嘴, 酸人,,
 網友, zzzzzz, 關電視, 假賽,,
 矮額, 牌坊, 畜牲, Allpost,,
 Wwwww, 糞國, 最該, 甲賽,,
 台媒, 堪慮, 支畜, 樓別,,
 金養, 三濫, 白爛, 狂酸,,
 支那, 彭文正, 飆車, 網友,,
 洗翻, 低賤, 吃大便, 矮額,,
 藍綠柯, 力覺, 老不死, 幹蓋,,
 蛤, 辛旗, 雜碎, Wwwww,,
 憤世嫉俗, 民嘴, 幹講, 支那,,
 沒人要, 發瘋, 人酸, 肛吧,,
 CenaC, 渣, 板友, 汪汪叫,,
 共產黨國, 裝屎, 精神病, 洗翻,,
 一國兩治, 領導黨, 言而無信, 蛤,,
 呵呵, 五毛, 癡, 倒台,,
 宅會, 電過,87, 吃屎,,
 匪區, 方陣營, 食屎, 共產黨國,,
 狗屎, 賤畜, 豬生, 呵呵,,
 破麻, 佩珊, 廢渣, 宅會,,
 吃屎, 廢物, 領太, 匪區,,
 中?, 蔡挺, 黑會, 狗屎,,
 幹滾啦, 政晶, 阿六, 牆內,,
 中天東, 覺青會, 冥嘴, 中?,,
 酸宅, 陰森, 招過, 幹滾啦,,
 比軍, 上進, 發文說, 歷台,,
 亂酸, 狗養, 吠叫, 歷肥宅,,
 閃殺, 腦包, loser, 酸宅,,
, 八家, gogobar, 娘酒,,
, 柯迷, 共狗, 亂酸,,
, 靈涼, 愛酸, 死肥宅,,
, 版友, 宮廟, 閃殺,,
, 藍綠粉, 屎,,,
, 確更, 屁孩,,,
, 東然, 立貞節,,,
, 九點二, 貞節,,,
, 王八, asswecan,,,
, 比帶, 神經病,,,
, 想立, 白痴,,,
, 夜店, 河粉,,,
, 下賤, 文正,,,
, 能領, 小屁孩,,,
, 魯宅, 組職,,,
, 領的, httpsiimgurcomLgqfyrLjpg,,,
, 網友, 吠,,,
, Wwwww, 妹上,,,
, 蛤, 死台,,,
, CenaC, 醜宅,,,
, 狗屎, 噢,,,
, 比軍, 裝神,,,
, 臭宅, 辣幹,,,
, 真該, 沒路用,,,
, 混蛋, 無法無天,,,
, 周玉蔻, 婊子,,,
, 宅, 版肥宅,,,
, 方害, 好帥,,,
, 會信, 婊,,,
, 啃老族, 阿中國,,,
, realcn, 五樓鬆肛,,,
, allyours, 真柯粉,,,
, 滯礙, 酸,,,
, 下標, 滾蛋,,,
, 仇富, 狂噓,,,
, superjim, 沒救,,,
, 保政, zzzzzz,,,
, 去死吧, 牌坊,,,
, 王八蛋, 匿名,,,
, 陣頭, 糞國,,,
, 廢宅, 堪慮,,,
, 查證, 三濫,,,
, 綠黨工, 彭文正,,,
, 抹黑, 才覺得,,,
, 有人, 低賤,,,
, 無腦, 粉崩潰,,,
, 閉嘴, 力覺,,,
, 署名, 辛旗,,,
, 環時, 民嘴,,,
, 蠢, 發瘋,,,
, 可悲, 渣,,,
, 綠媒, 裝屎,,,
, 魯, 樓超,,,
, 工三小, 領導黨,,,
, 改車, 五毛,,,
